Дата оплаты	Лицевой счет	Сумма
05.02.2021	101217059	72,08
05.02.2021	101221020	2018,12
05.02.2021	101224119	1244,51
05.02.2021	101224282	317,13
05.02.2021	101225048	163,38
05.02.2021	101228104	2522,65
05.02.2021	101230021	33,63
05.02.2021	101230045	333,18
05.02.2021	101230059	499,73
05.02.2021	101231076	2513,04
05.02.2021	101231233	1388,65
05.02.2021	101302054	1946,05
05.02.2021	101302055	2243,96
05.02.2021	101305122	1845,14
05.02.2021	101307044	956,20
05.02.2021	101308259	1825,92
05.02.2021	101308260	1254,12
05.02.2021	101311070	1095,55
05.02.2021	101313257	480,51
05.02.2021	101313398	99,34
05.02.2021	101313399	1138,79
05.02.2021	101313454	2753,30
05.02.2021	101313458	2522,19
05.02.2021	101316036	738,52
05.02.2021	101317012	2013,31
05.02.2021	101318019	1499,18
05.02.2021	101318167	1734,62
05.02.2021	101318225	566,99
05.02.2021	101319005	1571,25
05.02.2021	101320308	989,84
05.02.2021	101320363	2527,45
05.02.2021	101320405	100,91
08.02.2021	101320439	2575,50
08.02.2021	101321069	1374,24
08.02.2021	110103069	2807,23
08.02.2021	110103280	2427,18
08.02.2021	110106065	2155,09
08.02.2021	110106081	413,23
08.02.2021	110117032	2364,08
08.02.2021	110117043	3320,29
08.02.2021	110601185	302,72
08.02.2021	110601203	840,89
08.02.2021	110604042	2700,44
08.02.2021	110701009	2200,71
08.02.2021	110701010	1676,96
08.02.2021	110701157	2147,85
08.02.2021	110701203	2267,98
08.02.2021	110701215	1931,63
08.02.2021	111203127	3262,63
08.02.2021	111203239	2513,04
08.02.2021	111203324	2834,97
08.02.2021	111203325	3450,02
10.02.2021	111401003	696,74
08.02.2021	111401071	2761,35
08.02.2021	111401297	2061,36
08.02.2021	111404087	2551,48
08.02.2021	111404235	1494,37
08.02.2021	111404252	2705,24
08.02.2021	111404253	3132,89
08.02.2021	111404258	2802,92
08.02.2021	120103085	2388,32
08.02.2021	124412082	1955,65
08.02.2021	125129055	2253,57
08.02.2021	125129056	3685,47
08.02.2021	125590004	2316,03
08.02.2021	125590005	3036,79
08.02.2021	125590006	2753,30
08.02.2021	125590007	2724,45
08.02.2021	125590008	3123,28
08.02.2021	126611056	4026,63
08.02.2021	126611057	4483,11
08.02.2021	126611058	4574,40
08.02.2021	126611059	4439,87
08.02.2021	126611060	4531,16
08.02.2021	126611061	4545,57
08.02.2021	126611062	4521,55
08.02.2021	126636135	2263,18
08.02.2021	127745019	1821,11
08.02.2021	129962036	182,59
08.02.2021	129962037	715,95
08.02.2021	129962104	523,75
08.02.2021	129962105	687,13
08.02.2021	130311009	1297,37
08.02.2021	130315209	3070,43
08.02.2021	130315210	2657,20
08.02.2021	130315211	2585,11
08.02.2021	130315212	2633,16
08.02.2021	130315310	2383,30
08.02.2021	130315311	2037,35
08.02.2021	130315313	3305,87
08.02.2021	130315314	2402,52
08.02.2021	130315316	3315,48
08.02.2021	130505489	2935,88
08.02.2021	131002182	2198,29
08.02.2021	131709940	291,25
08.02.2021	131710040	100,91
08.02.2021	131710248	2077,36
08.02.2021	140001454	1470,34
08.02.2021	140001528	1532,81
08.02.2021	140001835	1316,59
08.02.2021	140002534	2969,52
08.02.2021	140002621	980,23
08.02.2021	140003607	1643,33
08.02.2021	140012303	273,89
08.02.2021	140068405	3017,56
08.02.2021	155517066	547,78
08.02.2021	155524035	1705,94
08.02.2021	155601015	360,38
08.02.2021	155601043	2733,82
08.02.2021	156703011	2604,33
08.02.2021	156808029	2569,71
08.02.2021	156808031	2453,09
08.02.2021	156808034	2455,38
08.02.2021	156808036	2176,69
08.02.2021	156810026	1768,25
08.02.2021	157011020	3887,28
08.02.2021	157011063	2575,50
08.02.2021	157011085	1542,42
08.02.2021	157012051	2959,91
08.02.2021	157014027	1383,85
08.02.2021	157014037	2724,45
08.02.2021	157016019	2950,31
08.02.2021	157016057	2859,01
08.02.2021	157020011	3338,45
08.02.2021	157021025	3166,53
08.02.2021	157025003	3195,36
08.02.2021	157027020	2695,63
08.02.2021	157027026	3377,95
08.02.2021	157401005	4387,00
08.02.2021	157401007	1907,60
08.02.2021	157401015	3472,34
08.02.2021	157401097	3272,24
08.02.2021	157401102	2878,22
08.02.2021	157804062	826,47
08.02.2021	157804064	2215,12
08.02.2021	158101007	3057,72
08.02.2021	158701076	2503,43
08.02.2021	158809016	1801,89
08.02.2021	158809018	872,40
08.02.2021	158811023	1210,88
08.02.2021	158811026	1946,05
08.02.2021	158819112	768,80
08.02.2021	158831012	379,60
08.02.2021	158837050	760,12
08.02.2021	158844031	1475,14
08.02.2021	158862015	2314,89
